Index,theta,x_upper,x_lower,y_upper,y_lower
A4,-1.7278799999999999,-1.7489315367456977,-1.9489315367456979,-1.7489315367456977,-4.382306312552884
A4,-1.5708,-1.7020011019615309,-1.902001101961531,-1.7020011019615309,-4.385999999997976
A5,-1.5708,-2.162001101961531,-2.362001101961531,-2.162001101961531,-4.385999999997976
A5,-1.41372,-2.1150706400432875,-2.3150706400432877,-2.1150706400432875,-4.382306657323208
A5,-1.25664,-2.069295740110072,-2.269295740110072,-2.069295740110072,-4.371317227307186
A5,-1.0995599999999999,-2.025803537377026,-2.225803537377026,-2.025803537377026,-4.353302307451673
A5,-0.94248,-1.9856649592160496,-2.1856649592160498,-1.9856649592160496,-4.328705486941937
A5,-0.7854,-1.949868355246629,-2.149868355246629,-1.949868355246629,-4.298132423957842
A5,-0.62832,-1.9192951607744724,-2.1192951607744726,-1.9192951607744724,-4.262335932289794
A5,-0.4712400000000001,-1.8946981928276718,-2.094698192827672,-1.8946981928276718,-4.2221974444782555
A5,-0.31416,-1.876683113216499,-2.076683113216499,-1.876683113216499,-4.178705307917998
A5,-0.1570799999999999,-1.865693515059955,-2.065693515059955,-1.865693515059955,-4.132930448351521
A5,0.0,-1.8619999999999999,-2.062,-1.8619999999999999,-4.086
A6,-3.1416,-2.771999999983539,-2.9719999999835394,-2.771999999983539,-3.785995518689774
A6,-2.98452,-2.7644905537281605,-2.9644905537281607,-2.7644905537281605,-3.8814208188412493
A6,-2.82744,-2.7421457212482783,-2.9421457212482784,-2.7421457212482783,-3.974496530783235
A6,-2.67036,-2.7055157090457365,-2.9055157090457366,-2.7055157090457365,-4.062930810890573
A6,-2.51328,-2.6555024737986446,-2.8555024737986447,-2.6555024737986446,-4.144546103527312
A6,-2.3562,-2.5933375130908836,-2.7933375130908837,-2.5933375130908836,-4.217332759943609
A6,-2.1991199999999997,-2.5205515417129583,-2.7205515417129584,-2.5205515417129583,-4.279498522728549
A6,-2.04204,-2.4389368002077876,-2.6389368002077878,-2.4389368002077876,-4.329512657341732
A6,-1.88496,-2.350502923754462,-2.550502923754462,-2.350502923754462,-4.366143644053797
A6,-1.7278799999999999,-2.2574274580495852,-2.4574274580495854,-2.2574274580495852,-4.388489502190863
A6,-1.5708,-2.162002240655113,-2.362002240655113,-2.162002240655113,-4.395999999995884
A7,-3.1416,-2.621999999987587,-2.8219999999875873,-2.621999999987587,-3.785996620651305
A7,-2.98452,-2.6163371388769736,-2.816337138876974,-2.6163371388769736,-3.857956683060614
A7,-2.82744,-2.5994869373347673,-2.7994869373347675,-2.5994869373347673,-3.928144924852931
A7,-2.67036,-2.571864305182031,-2.771864305182031,-2.571864305182031,-3.9948330705076454
A7,-2.51328,-2.534149406471109,-2.734149406471109,-2.534149406471109,-4.056379028889449
A7,-2.3562,-2.487270911511158,-2.6872709115111584,-2.487270911511158,-4.111267327170591
A7,-2.1991199999999997,-2.4323831298163294,-2.6323831298163296,-2.4323831298163294,-4.158146426975627
A7,-2.04204,-2.370837587041938,-2.570837587041938,-2.370837587041938,-4.1958620038970444
A7,-1.88496,-2.3041497457820532,-2.5041497457820534,-2.3041497457820532,-4.223485370925815
A7,-1.7278799999999999,-2.2339616896767365,-2.4339616896767367,-2.2339616896767365,-4.240336345914422
A7,-1.5708,-2.1620016896743475,-2.3620016896743476,-2.1620016896743475,-4.245999999996896
A8,-1.5708,-2.1620005509807654,-2.3620005509807656,-2.1620005509807654,-4.235999999998988
A8,-1.41372,-2.138535320021644,-2.338535320021644,-2.138535320021644,-4.234153328661604
A8,-1.25664,-2.1156478700550356,-2.315647870055036,-2.1156478700550356,-4.228658613653593
A8,-1.0995599999999999,-2.0939017686885126,-2.293901768688513,-2.0939017686885126,-4.219651153725836
A8,-0.94248,-2.0738324796080247,-2.273832479608025,-2.0738324796080247,-4.2073527434709685
